timestamp,region,time_ms,mem_before_mb,mem_after_mb,mem_delta_mb,peak_mb
2026-02-10T09:52:29.473642,hess_contract_Node0,0.31,737.45,738.1,0.65,738.61
2026-02-10T09:52:29.475886,env_Node0,1.64,737.96,739.01,1.05,740.08
2026-02-10T09:52:29.476603,forward_Node0,0.26,739.01,739.01,0.0,739.02
2026-02-10T09:52:29.477759,loss_derivs_Node0,0.72,739.01,739.02,0.01,739.03
2026-02-10T09:52:29.478466,grad_contract_Node0,0.28,739.02,739.39,0.37,739.39
2026-02-10T09:52:29.479002,hess_tn_build_Node0,0.08,739.39,739.39,0.0,739.39
2026-02-10T09:52:29.479751,hess_contract_Node0,0.32,739.39,739.89,0.5,740.25
2026-02-10T09:52:29.480178,compute_H_b_Node0,36.36,725.12,739.62,14.5,740.25
2026-02-10T09:52:29.481141,fuse_Node0,0.09,739.62,739.62,0.0,739.62
2026-02-10T09:52:29.481633,to_dense_Node0,0.08,739.62,739.62,0.0,739.62
2026-02-10T09:52:29.482930,solve_Node0,0.42,739.62,739.76,0.14,739.89
2026-02-10T09:52:29.485023,env_Node1,1.29,739.75,753.25,13.5,759.44
2026-02-10T09:52:29.485731,forward_Node1,0.26,753.25,753.26,0.0,753.26
2026-02-10T09:52:29.486879,loss_derivs_Node1,0.71,753.26,753.26,0.01,753.28
2026-02-10T09:52:29.487604,grad_contract_Node1,0.28,753.26,759.46,6.2,759.48
2026-02-10T09:52:29.488536,hess_tn_build_Node1,0.09,759.46,759.46,0.0,759.46
2026-02-10T09:52:29.489772,hess_contract_Node1,0.8,759.46,785.65,26.19,805.65
2026-02-10T09:52:29.491327,env_Node1,0.89,785.65,798.5,12.85,804.69
2026-02-10T09:52:29.492042,forward_Node1,0.26,798.5,798.5,0.0,798.51
2026-02-10T09:52:29.493146,loss_derivs_Node1,0.66,798.5,798.51,0.01,798.52
2026-02-10T09:52:29.493855,grad_contract_Node1,0.28,798.51,804.71,6.2,804.72
2026-02-10T09:52:29.494780,hess_tn_build_Node1,0.09,804.71,804.71,0.0,804.71
2026-02-10T09:52:29.496009,hess_contract_Node1,0.77,804.71,830.9,26.19,850.9
2026-02-10T09:52:29.498126,env_Node1,0.87,830.9,843.75,12.85,850.45
2026-02-10T09:52:29.498835,forward_Node1,0.26,843.75,843.75,0.0,843.75
2026-02-10T09:52:29.499972,loss_derivs_Node1,0.69,843.75,843.76,0.01,843.77
2026-02-10T09:52:29.500675,grad_contract_Node1,0.28,843.76,849.96,6.2,849.97
2026-02-10T09:52:29.501229,hess_tn_build_Node1,0.1,849.96,849.96,0.0,849.96
2026-02-10T09:52:29.502718,hess_contract_Node1,0.66,849.96,876.15,26.19,896.15
2026-02-10T09:52:29.504409,env_Node1,0.87,856.13,868.98,12.85,875.68
2026-02-10T09:52:29.505124,forward_Node1,0.26,868.98,868.99,0.0,868.99
2026-02-10T09:52:29.507614,loss_derivs_Node1,0.7,868.99,868.99,0.01,869.01
2026-02-10T09:52:29.508342,grad_contract_Node1,0.29,868.99,875.19,6.2,875.21
2026-02-10T09:52:29.508876,hess_tn_build_Node1,0.09,875.19,875.19,0.0,875.19
2026-02-10T09:52:29.510115,hess_contract_Node1,0.78,875.19,901.38,26.19,921.38
