Task 4: Model=lmpo2_typei, Dataset=seoulBike
[2026-05-04 19:35:53,811][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=12_rf0.5 seed=10090 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd12_seed10090_rf0.5_bondmpo1 | already completed successfully (val_quality=0.6879108578469277) val=0.6879
[2026-05-04 19:35:53,813][HYDRA] 	#32 : model.reduction_factor=0.5 model.L=4 model.bond_dim=12 seed=32874 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:53,982][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=12_rf0.5 seed=32874 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd12_seed32874_rf0.5_bondmpo1 | already completed successfully (val_quality=0.5605209331935346) val=0.5605
[2026-05-04 19:35:53,984][HYDRA] 	#33 : model.reduction_factor=0.5 model.L=4 model.bond_dim=12 seed=47311 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:54,151][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=12_rf0.5 seed=47311 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd12_seed47311_rf0.5_bondmpo1 | already completed successfully (val_quality=0.6182484460288964) val=0.6182
[2026-05-04 19:35:54,154][HYDRA] 	#34 : model.reduction_factor=0.5 model.L=4 model.bond_dim=12 seed=47303 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:54,324][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=12_rf0.5 seed=47303 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd12_seed47303_rf0.5_bondmpo1 | already completed successfully (val_quality=0.655510788578919) val=0.6555
[2026-05-04 19:35:54,326][HYDRA] 	#35 : model.reduction_factor=0.5 model.L=4 model.bond_dim=8 seed=42 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:54,506][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=8_rf0.5 seed=42 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd8_seed42_rf0.5_bondmpo1 | already completed successfully (val_quality=0.6322960882183051) val=0.6323
[2026-05-04 19:35:54,508][HYDRA] 	#36 : model.reduction_factor=0.5 model.L=4 model.bond_dim=8 seed=10090 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:54,679][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=8_rf0.5 seed=10090 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd8_seed10090_rf0.5_bondmpo1 | already completed successfully (val_quality=0.6543940747033503) val=0.6544
